ORDERID,SOLDDATE,CUSTID,PRODID,PRODNAME,WEEKDAY,SITEBUSNAME,REGION,D_DAY_2_TEM,D_DAY_2_HUM,D_DAY_2_WIND,D_DAY_2_TEM_RAINAMOUNT,D_DAY_2_RAINHOUR,ORDER_QUANT,SOLD_QUANT
AE21030434,2021-03-07,2007400,SSA013035307,AE,목,삼표,풍납,6.6,58.5,2.2,0,0,532,1000
HR1021030423,2021-03-07,2001500,PEMA363048300,PEMA-HR1000,목,제일,홍성,5.5,65,0.9,0,0,5184,6000
HR1021030426,2021-03-07,2001600,PEMA093001100,PEMA-HR1000,목,동해,동해,8.1,62.1,2.1,0,0,10032,8000
HR1021030427,2021-03-07,2001700,PEMA093001100,PEMA-HR1000,목,동해,동해,8.1,62.1,2.1,0,0,1344,2000
HR1521030432,2021-03-07,2002800,PEMA053046500,PEMA-HR1500,목,신일,송파,6.6,58.5,2.2,0,0,6260,5000
580F21030422,2021-03-07,2007302,PEMA043090700,PEMA-580FX,목,삼영씨앤텍,양주,5.4,61.5,1.3,0,0,15696,15000
CSA521030420,2021-03-07,2007700,PEMA043069403,CSA5000,목,천마,홍성,5.5,65,0.9,0,0,8550,10000
SR2021030421,2021-03-07,2003200,PEMA043037801,PEMA-SR2000,목,서산,서산,4.6,68.5,1.3,0,0,2189,2000
SR3F21030402,2021-03-07,2003300,PEMA033109400,PEMA-SR3000F,목,보광,대구,9,64.8,2,0,0,5130,5000
CSA521030424,2021-03-07,2007800,PEMA033035307,CSA5000,목,삼표,풍납,6.6,58.5,2.2,0,0,4025,3000
CSA521030425,2021-03-07,2001102,PEMA033035307,CSA5000,목,삼표,풍납,6.6,58.5,2.2,0,0,3915,5000
HR1021030429,2021-03-07,2001800,PEMA033028900,PEMA-HR1000,목,보광,장동,5.5,65,0.9,0,0,8900,10000
HR1521030417,2021-03-07,2002500,PEMA033027400,PEMA-HR1500,목,미륭,부산,9.7,61.3,3,0,0,6853,10000
HR1521030418,2021-03-07,2002600,PEMA033002600,PEMA-HR1500,목,경동,부산,9.7,61.3,3,0,0,4351,5000
500F21030404,2021-03-07,2007100,PEMA023058600,PEMA-500FR,목,유진,강서,6.6,58.5,2.2,0,0,25295,23000
500F21030404,2021-03-07,2007200,PEMA023058600,PEMA-500FR,목,유진,강서,6.6,58.5,2.2,0,0,2621,2000
HR1021030440,2021-03-07,2002400,PEMA023041503,PEMA-HR1000,목,성진,천안,5,63.6,1.2,0,0,9776,10000
CSA521030439,2021-03-07,2001200,PEMA023039000,CSA5000,목,석문,당진,4.6,68.5,1.3,0,0,9200,10000
CSA521030415,2021-03-07,2007600,PEMA023035315,CSA5000,목,삼표,오산,5.3,69.6,1.7,0,0,6477,8000
HR1021030401,2021-03-07,2001300,PEMA013117801,PEMA-HR1000,목,에스피,경광주,6.2,62.3,1.5,0,0,7333,7000
SR2021030403,2021-03-07,2003100,PEMA013061400,PEMA-SR2000,목,장헌,당진,4.6,68.5,1.3,0,0,6420,5000
HR1021030438,2021-03-07,2002300,PEMA013050400,PEMA-HR1000,목,아주,광명,5.6,69.9,2.1,0,0,5090,7000
CSA421030431,2021-03-07,2007500,PEMA013046500,CSA4000,목,신일,송파,6.6,58.5,2.2,0,0,9090,10000
HR1521030428,2021-03-07,2002700,PEMA013041301,PEMA-HR1500,목,성원,단양,5.2,65.8,1.1,0,0,17334,15000
HR1021030435,2021-03-07,2002100,PEMA013037300,PEMA-HR1000,목,서보,평택,5.3,69.6,1.7,0,0,4048,5000
HR1021030436,2021-03-07,2002200,PEMA013037300,PEMA-HR1000,목,서보,평택,5.3,69.6,1.7,0,0,3402,5000
SR2021030503,2021-03-08,2004200,PEMA053062006,PEMA-SR2000,금,정선,남서울,8.8,61.8,1.8,0,0,6650,7000
SR3F21030518,2021-03-08,2004400,PEMA043072100,PEMA-SR3000F,금,태명,이천,7.5,61,0.9,0,0,5824,10000
CSA521030502,2021-03-08,2003500,PEMA033035303,CSA5000,금,삼표,성수,8.8,61.8,1.8,0,0,5645,8000
HR1021030515,2021-03-08,2003700,PEMA023109400,PEMA-HR1000,금,보광,대구,8.8,57.6,3.5,0,0,10010,10000
CSA521030517,2021-03-08,2003600,PEMA023076910,CSA5000,금,경동,대구,8.8,57.6,3.5,0,0,9504,10000
500F21030504,2021-03-08,2003400,PEMA023058600,PEMA-500FR,금,유진,강서,8.8,61.8,1.8,0,0,22638,21000
PR2021030513,2021-03-08,2004104,PEMA023024804,PEMA-PR2000,금,동진파일,서산,6.5,67.9,1.2,0,0,7084,10000
SR3F21030514,2021-03-08,2004300,PEMA023013000,PEMA-SR3000F,금,대동,대구,8.8,57.6,3.5,0,0,6240,5000
PR1021030512,2021-03-08,2004100,PEMA013901600,PEMA-PR1000,금,동양파일,함안,8.8,54.8,1.5,0,0,16560,15000
HR1521030501,2021-03-08,2003900,PEMA013120100,PEMA-HR1500,금,성우,영동,7.2,73.1,1.2,0,0,7700,10000
HR1021030516,2021-03-08,2003800,PEMA013119500,PEMA-HR1000,금,일진,횡성,7.8,51.9,0.7,0,0,10800,10000
HR1521030519,2021-03-08,2004000,PEMA013035322,PEMA-HR1500,금,삼표,부산,10.3,49.9,3.8,0,0,4166,7000
HR1521030727,2021-03-10,2006606,PEMA143057600,PEMA-HR1500,일,한국흄관,울산,9.4,95.8,3.1,29.4,20.28,10648,10000
PCMB21030704,2021-03-10,2006612,PEMA073061300,PEMA-PCM2000B,일,장원,남양주,9.5,65.5,1,1.5,0,3480,5000
PCM221030703,2021-03-10,2006609,PEMA063061300,PEMA-PCM2000,일,장원,남양주,9.5,65.5,1,1.5,0,4136,5000
SR2A21030715,2021-03-10,2007000,PEMA053048500,PEMA-SR2000A,일,쌍용,경광주,8.8,70.5,0.9,1.9,0,13824,10000
HR1521030725,2021-03-10,2006600,PEMA043023001,PEMA-HR1500,일,동양건재,김해,9.4,89.8,1.5,22,0,5236,8000
CSA521030721,2021-03-10,2005000,PEMA033109700,CSA5000,일,우진,경주,8.7,88.8,3.2,26.7,0,8736,10000
580F21030702,2021-03-10,2004500,PEMA033074100,PEMA-580FX,일,파워텍,음성,8.2,71,1.4,10.6,0,1496,2000
580F21030702,2021-03-10,2004600,PEMA033074100,PEMA-580FX,일,파워텍,음성,8.2,71,1.4,10.6,0,22977,23000
HR1021030711,2021-03-10,2005500,PEMA033041500,PEMA-HR1000,일,성진,동탄,9.4,70,1.4,0.2,493,9180,10000
SR3F21030706,2021-03-10,2007100,PEMA033023006,PEMA-SR3000F,일,동양,정관,10,86,3.8,23.4,16.72,3636,5000
PR2021030707,2021-03-10,2006900,PEMA023901510,PEMA-PR2000,일,동양파일,익산,8.7,84.8,1.2,8.1,0,10881,10000
CR1021030723,2021-03-10,2004700,PEMA023123000,PEMA-CR1000,일,신공항,인천,9.7,57.3,2.9,0,1.58,11160,10000
H5R1521030728,2021-03-10,2005100,PEMA023104400,PEMA-HR1500,일,대안,옥계,8.2,91.3,0.7,23.2,0,6264,9000
HR1021030726,2021-03-10,2006400,PEMA023024801,PEMA-HR1000,일,동진,수원,9.4,70,1.4,0.2,493,8712,8000
CSA521030716,2021-03-10,2004901,PEMA023024000,CSA5000,일,동원,옥천,8.3,88,1.3,12.2,17.42,8640,10000
CSA521030714,2021-03-10,2004800,PEMA023001000,CSA5000,일,강원,인천,9.7,57.3,2.9,0,1.58,6943,7000
PR1021030701,2021-03-10,2006700,PEMA013129802,PEMA-PR1000,일,삼일,칠서,9.4,77.9,2.4,17.6,0,21384,15000
PR1021030701,2021-03-10,2006800,PEMA013129802,PEMA-PR1000,일,삼일,칠서,9.4,77.9,2.4,17.6,0,9720,10000
HR1021030717,2021-03-10,2005800,PEMA013128300,PEMA-HR1000,일,경연,원주,9.5,56.8,1.8,0.6,0,6370,7000
HR1021030705,2021-03-10,2005200,PEMA013122500,PEMA-HR1000,일,영동,고성,6.6,79.9,2.9,3.9,0,11466,10000
HR1021030718,2021-03-10,2005900,PEMA013122400,PEMA-HR1000,일,성진,부산,10,86,3.8,23.4,16.72,6286,8000
HR1021030719,2021-03-10,2006000,PEMA013122400,PEMA-HR1000,일,성진,부산,10,86,3.8,23.4,16.72,7128,8000
HR1021030720,2021-03-10,2006100,PEMA013122400,PEMA-HR1000,일,성진,부산,10,86,3.8,23.4,16.72,5445,5000
HR1021030708,2021-03-10,2005300,PEMA013119000,PEMA-HR1000,일,하나,군산,8.7,84.8,1.2,8.1,0,7104,8000
HR1021030724,2021-03-10,2006300,PEMA013104400,PEMA-HR1000,일,대안,옥계,8.2,91.3,0.7,23.2,0,10010,10000
HR1021030710,2021-03-10,2005400,PEMA013043200,PEMA-HR1000,일,세진,경광주,8.8,70.5,0.9,1.9,0,9555,15000
HR1021030712,2021-03-10,2005600,PEMA013026702,PEMA-HR1000,일,모헨즈,천안,7.8,89.9,1,3.8,0,4675,5000
AE21022240,2021-02-25,2001300,SSA073046500,AE,월,신일,송파,9.5,48.6,3.4,0,0,1113,1280
HR1021022241,2021-02-25,2003100,PEMA223048300,PEMA-HR1000,월,서원,태안,8.8,44.5,3.7,0,0,2885,4480
HR1021022224,2021-02-25,2002200,PEMA063041501,PEMA-HR1000,월,성진,인천,9.2,41.6,3.7,0,0,6125,6400
SR3F21022220,2021-02-25,2004400,PEMA063030500,PEMA-SR3000F,월,부산,부산,7.4,60,5.6,0,0,1991,1920
HR1521022239,2021-02-25,2003600,PEMA053046500,PEMA-HR1500,월,신일,송파,9.5,48.6,3.4,0,0,2394,3200
CSA521022218,2021-02-25,2001400,PEMA043099800,CSA5000,월,영진,경주,6.3,59.5,4,0,0,5530,6400
SR2021022221,2021-02-25,2004104,PEMA043080500,PEMA-SR2000,월,한진,울산,7,62.5,3.2,0,0,3228,3200
SR2021022222,2021-02-25,2004200,PEMA043080500,PEMA-SR2000,월,한진,울산,7,62.5,3.2,0,0,1333,1280
SR2021022238,2021-02-25,2004300,PEMA043062000,PEMA-SR2000,월,정선,경광주,7.1,55.4,2,0.1,0,4460,3840
580F21022209,2021-02-25,2001102,PEMA033101400,PEMA-580FX,월,하나,금산,7.8,53.1,2.7,0,0,5345,9600
HR1021022248,2021-02-25,2006300,PEMA033088300,PEMA-HR1000,월,성진,안양,8.8,51.1,3.4,0,0,6124,6400
SR2021022214,2021-02-25,2004100,PEMA033078017,PEMA-SR2000,월,한라,온산,7,62.5,3.2,0,0,4520,3200
HR1021022237,2021-02-25,2003000,PEMA033046500,PEMA-HR1000,월,신일,송파,9.5,48.6,3.4,0,0,4393,3200
HR1521022219,2021-02-25,2003500,PEMA033030500,PEMA-HR1500,월,부산,부산,7.4,60,5.6,0,0,12630,7680
PR1021022210,2021-02-25,2003800,PEMA023129801,PEMA-PR1000,월,삼일,충주,6.5,53.6,2.7,0,0,2184,1920
PR1021022210,2021-02-25,2003900,PEMA023129801,PEMA-PR1000,월,삼일,충주,6.5,53.6,2.7,0,0,21695,14080
HR1021022211,2021-02-25,2001700,PEMA023100800,PEMA-HR1000,월,대종,경주,6.3,59.5,4,0,0,4534,6400
HR1021022212,2021-02-25,2001800,PEMA023100800,PEMA-HR1000,월,대종,경주,6.3,59.5,4,0,0,6780,6400
HR1521022217,2021-02-25,2003400,PEMA023092101,PEMA-HR1500,월,도현,양산,7.8,60.3,4.3,0,0,3785,4480
HR1521022213,2021-02-25,2003300,PEMA023080800,PEMA-HR1500,월,한진,김해,7.1,57.3,1.8,0,0,7040,6400
HR1021022236,2021-02-25,2002900,PEMA023046501,PEMA-HR1000,월,신일,아산,7,53.4,3.8,0,0,7322,6400
SR3F21022235,2021-02-25,2004500,PEMA023030801,PEMA-SR3000F,월,부일,회동동,7.4,60,5.6,0,0,4898,3840
PR1021022234,2021-02-25,2004000,PEMA013901520,PEMA-PR1000,월,동양파일,아산,7,53.4,3.8,0,0,11162,12800
HR1021022216,2021-02-25,2002000,PEMA013131100,PEMA-HR1000,월,황원,고성,3.9,83,1.8,4.8,0,4166,6400
HR1021022233,2021-02-25,2002800,PEMA013125500,PEMA-HR1000,월,명진,논산,8.6,49.4,2.7,0,0,5152,6400
HR1021022225,2021-02-25,2002300,PEMA013121910,PEMA-HR1000,월,하주,동해,5.3,72.3,2.7,0.9,0,3180,3200
CSA521022232,2021-02-25,2001500,PEMA013120000,CSA5000,월,상신,성주,6.6,58.1,1.2,0,0,4260,6400
HR1021022243,2021-02-25,2003200,PEMA013105210,PEMA-HR1000,월,삼우,대구,6.7,69.3,4.7,0,0,5288,5760
HR1021022246,2021-02-25,2006100,PEMA013099140,PEMA-HR1000,월,쌍용,평택,8.8,51.1,3.4,0,0,1474,1920
CSA521022242,2021-02-25,2001600,PEMA013085300,CSA5000,월,흥국,미사리,7.6,54.1,1.8,0,0,6737,6400
HR1021022226,2021-02-25,2002400,PEMA013078018,PEMA-HR1000,월,한라,원주,6.9,50,1.2,0,0,6267,6400
HR1021022227,2021-02-25,2002500,PEMA013060901,PEMA-HR1000,월,일양,양양,3.9,83,1.8,4.8,0,8602,6400
HR1021022231,2021-02-25,2002700,PEMA013058613,PEMA-HR1000,월,유진,천안,7,53.4,3.8,0,0,2109,3200
HR1021022230,2021-02-25,2005800,PEMA013049304,PEMA-HR1000,월,아세아,용인,8.8,51.1,3.4,0,0,6970,6400
HR1021022229,2021-02-25,2002600,PEMA013046900,PEMA-HR1000,월,신진,대구,6.7,69.3,4.7,0,0,11382,6400
HR1021022245,2021-02-25,2006000,PEMA013041507,PEMA-HR1000,월,성진도시,화성,8.8,51.1,3.4,0,0,3620,4480
SP1021022344,2021-02-26,2001400,TSN4012043602,PEMA-SN400,화,청명,용인,7.3,54.3,1.7,0,0,6394,6400
SP1021022343,2021-02-26,2001300,TSN4012001214,PEMA-SN400,화,구산,하남,6.2,60.1,0.8,0,0,5391,6400
HR1021022314,2021-02-26,2006400,PEMA623022500,PEMA-HR1000,화,대아,함안,7.4,67,1,0,0,5391,6400
CSA521022324,2021-02-26,2005300,PEMA553048200,CSA5000,화,신우,경주,8.6,68.5,1.8,0,0,5011,6400
HR1021022341,2021-02-26,2007302,PEMA213048300,PEMA-HR1000,화,서우,서산,7.4,47.5,1.6,0,0,4325,5120
HR1021022325,2021-02-26,2006606,PEMA153001100,PEMA-HR1000,화,우성,강릉,8.4,54.8,1.8,0,0,2703,3200
580F21022311,2021-02-26,2004700,PEMA073050413,PEMA-580FX,화,아주,가좌,7,45.9,1.9,0,0,9085,9600
HR1521022330,2021-02-26,2007800,PEMA063048100,PEMA-HR1500,화,구암,담양,7.6,77.8,0.7,1,0,966,1280
HR1521022317,2021-02-26,2007500,PEMA053031200,PEMA-HR1500,화,산양,진해,8,63,1.5,0,0.8,6758,6400
HR1021022322,2021-02-26,2006500,PEMA043101200,PEMA-HR1000,화,영진,칠곡,5.6,73.5,0.4,0.1,0,9518,6400
SR2021022320,2021-02-26,2001500,PEMA043091500,PEMA-SR2000,화,울산,울산,9.7,77.3,1.6,0,0,1006,1280
SR2021022321,2021-02-26,2001600,PEMA043091500,PEMA-SR2000,화,울산,울산,9.7,77.3,1.6,0,0,6278,6400
SR2021022347,2021-02-26,2001700,PEMA043046101,PEMA-SR2000,화,신우,울산,9.7,77.3,1.6,0,0,3047,1920
SR2021022348,2021-02-26,2001800,PEMA043046101,PEMA-SR2000,화,신우,울산,9.7,77.3,1.6,0,0,2846,1920
HR1521022329,2021-02-26,2007700,PEMA043011800,PEMA-HR1500,화,대경,순천,8.6,72.4,1.2,0,0,4137,6400
HR1021022340,2021-02-26,2007200,PEMA043001100,PEMA-HR1000,화,대신,동해,7.4,60.8,1.4,0,0,5984,6400
HR1021022327,2021-02-26,2006609,PEMA033046500,PEMA-HR1000,화,신일,송파,7.8,49,2.1,0,0,5018,6400
SR3F21022339,2021-02-26,2002300,PEMA033041501,PEMA-SR3000F,화,성진,인천,7,45.9,1.9,0,0,3819,3200
HR1021022338,2021-02-26,2007100,PEMA033041500,PEMA-HR1000,화,성진,동탄,7.3,54.3,1.7,0,0,9060,6400
HR1521022319,2021-02-26,2007600,PEMA033002600,PEMA-HR1500,화,경동,부산,10.5,71.9,2.6,0,0,1204,2560
CR1021022315,2021-02-26,2004901,PEMA023123000,PEMA-CR1000,화,신공항,인천,7,45.9,1.9,0,0,2405,1920
CR1021022316,2021-02-26,2005000,PEMA023123000,PEMA-CR1000,화,신공항,인천,7,45.9,1.9,0,0,6624,4480
SR2A21022337,2021-02-26,2002000,PEMA023117801,PEMA-SR2000A,화,에스피,경광주,6.1,59.4,0.6,0,0,3309,3200
HR1021022336,2021-02-26,2007000,PEMA023061900,PEMA-HR1000,화,정도,울진,8.4,69.5,2.6,0,0,6820,5120
500F21022309,2021-02-26,2004600,PEMA023058600,PEMA-500FR,화,유진,강서,7.8,49,2.1,0,0,12442,9600
CSA521022310,2021-02-26,2005200,PEMA023052200,PEMA-CSA5000,화,영남,포항,10.2,65.3,1.9,0,0.92,3978,6400
CSA521022335,2021-02-26,2005500,PEMA023035315,CSA5000,화,삼표,오산,7.3,54.3,1.7,0,0,7164,5120
HR1521022313,2021-02-26,2007400,PEMA023022400,PEMA-HR1500,화,동아,함안,7.4,67,1,0,0,5484,6400
SR3F21022318,2021-02-26,2002200,PEMA023002600,PEMA-SR3000F,화,경동,부산,10.5,71.9,2.6,0,0,3264,3200
CSA521022342,2021-02-26,2005600,PEMA023001000,CSA5000,화,강원,인천,7,45.9,1.9,0,0,10982,6400
HR1021022323,2021-02-26,2006600,PEMA013125010,PEMA-HR1000,화,디엘이앤씨,포항,10.2,65.3,1.9,0,0.92,2554,3200
CSA521022334,2021-02-26,2005400,PEMA013111300,CSA5000,화,대원,청주,7.5,58.8,1,0,1,5069,6400
580F21022312,2021-02-26,2004800,PEMA013099150,PEMA-580FX,화,쌍용,부천,7,45.9,1.9,0,0,15575,12800
HR1021022247,2021-02-26,2006200,PEMA013099140,PEMA-HR1000,화,쌍용,평택,7.3,54.3,1.7,0,0,2041,4480
HR1021022333,2021-02-26,2006900,PEMA013089230,PEMA-HR1000,화,고려,서인천,7,45.9,1.9,0,0,5837,6400
SR3F21022308,2021-02-26,2002100,PEMA013081906,PEMA-SR3000F,화,현대,서울,7.8,49,2.1,0,0,2509,1920
HR1021022332,2021-02-26,2006800,PEMA013072100,PEMA-HR1000,화,태명실업,이천,6.1,59.4,0.6,0,0,5801,5120
CSA421022326,2021-02-26,2005100,PEMA013046500,CSA4000,화,신일,송파,7.8,49,2.1,0,0,2647,3200
HR1521022345,2021-02-26,2001102,PEMA013046101,PEMA-HR1500,화,신우,울산,9.7,77.3,1.6,0,0,2408,2560
HR1521022346,2021-02-26,2001200,PEMA013046101,PEMA-HR1500,화,신우,울산,9.7,77.3,1.6,0,0,3833,2560
HR1021022228,2021-02-26,2005700,PEMA013039505,PEMA-HR1000,화,선일,수원,7.3,54.3,1.7,0,0,7950,4480
AE21022438,2021-02-27,2005800,SSA013082500,AE,수,현대,안성,4.1,99.1,1.7,71.1,0,9318,6400
AE21022437,2021-02-27,2005700,SSA013035307,AE,수,삼표,풍납,4.7,91,3.5,67.5,22.92,343,640
CSA521022349,2021-02-27,2002800,PEMA823048300,CSA5000,수,한선,당진,4.9,96.1,2.7,72.5,0,7521,6400
CSA521022424,2021-02-27,2002900,PEMA103048200,CSA5000,수,흥진,경주,8,88.1,3.5,36.7,0,5495,6400
HR1521022436,2021-02-27,2007400,PEMA053046500,PEMA-HR1500,수,신일,송파,4.7,91,3.5,67.5,22.92,4028,4480
HR1521022426,2021-02-27,2005100,PEMA043049101,PEMA-HR1500,수,아세아,아산,7,98.1,1.7,55.8,0,2903,5120
HR1021022433,2021-02-27,2004100,PEMA043030401,PEMA-HR1000,수,부국,부천,3.9,89,4.9,58.7,22.83,6026,5120
580F21022409,2021-02-27,2002600,PEMA033103000,PEMA-580FX,수,미래,담양,11,94.1,2.3,35.2,0,13179,9600
SR2021022406,2021-02-27,2005400,PEMA033082100,PEMA-SR2000,수,대원씨엔엠,울산,11.3,94.6,2.6,60.3,11.13,4844,6400
HR1021022415,2021-02-27,2003300,PEMA033079200,PEMA-HR1000,수,한양,대구,8.9,99.8,3,35.5,14.67,8678,6400
CSA521022432,2021-02-27,2003100,PEMA033035309,CSA5000,수,삼표,용인,5,97.5,1.8,70.7,23.08,4113,3840
CSA521022435,2021-02-27,2006000,PEMA033035307,CSA5000,수,삼표,풍납,4.7,91,3.5,67.5,22.92,3797,5120
CSA421022431,2021-02-27,2002700,PEMA033030400,CSA4000,수,부국,대전,8.2,95.3,1.5,50.8,21.42,3430,4480
HR1521022410,2021-02-27,2004400,PEMA033021700,PEMA-HR1500,수,동서,부산,12.4,90.3,3.6,37.8,11.5,5591,6400
HR1521022422,2021-02-27,2004800,PEMA033014200,PEMA-HR1500,수,대성,울산,11.3,94.6,2.6,60.3,11.13,5944,6400
HR1521022423,2021-02-27,2004901,PEMA033014200,PEMA-HR1500,수,대성,울산,11.3,94.6,2.6,60.3,11.13,6221,6400
HR1521022412,2021-02-27,2004500,PEMA023125200,PEMA-HR1500,수,세진,부산,12.4,90.3,3.6,37.8,11.5,3269,5120
HR1521022413,2021-02-27,2004600,PEMA023125200,PEMA-HR1500,수,세진,부산,12.4,90.3,3.6,37.8,11.5,4728,5120
CSA521022430,2021-02-27,2003000,PEMA023091600,CSA5000,수,태성,계룡,8.7,96.3,1.1,54.4,0,4070,3200
500F21022404,2021-02-27,2002400,PEMA023058600,PEMA-500FR,수,유진,강서,4.7,91,3.5,67.5,22.92,12954,14720
500F21022404,2021-02-27,2002500,PEMA023058600,PEMA-500FR,수,유진,강서,4.7,91,3.5,67.5,22.92,1151,1280
HR1521022425,2021-02-27,2005000,PEMA023041503,PEMA-HR1000,수,성진,천안,7,98.1,1.7,55.8,0,7741,6400
HR1521022419,2021-02-27,2004700,PEMA023026300,PEMA-HR1500,수,만수,정읍,11.1,85.4,3.5,35.4,0,3750,6400
PR1021022411,2021-02-27,2005200,PEMA013901600,PEMA-PR1000,수,동양파일,함안,11.8,80.3,2.1,33.6,0,8694,6400
HR1021022417,2021-02-27,2003500,PEMA013122400,PEMA-HR1000,수,성진,부산,12.4,90.3,3.6,37.8,11.5,5959,5120
HR1021022422,2021-02-27,2003800,PEMA013118500,PEMA-HR1000,수,성창,삼척,3.6,90.6,2.3,67.3,0,7713,6400
HR1521022408,2021-02-27,2004300,PEMA013111900,PEMA-HR1500,수,성보,김해,11.5,88.3,2.6,52.2,0,3940,5120
HR1021022434,2021-02-27,2006200,PEMA013082500,PEMA-HR1000,수,현대,안성,4.1,99.1,1.7,71.1,0,7744,6400
HR1521022405,2021-02-27,2004104,PEMA013082100,PEMA-HR1500,수,대원씨앤엠,울산,11.3,94.6,2.6,60.3,11.13,7296,6400
HR1021022429,2021-02-27,2004000,PEMA013068400,PEMA-HR1000,수,진영,안양,5,97.5,1.8,70.7,23.08,3200,3200
HR1021022416,2021-02-27,2003400,PEMA013060100,PEMA-HR1000,수,인천,인천,3.9,89,4.9,58.7,22.83,4480,6400
HR1021022418,2021-02-27,2003600,PEMA013060100,PEMA-HR1000,수,인천,인천,3.9,89,4.9,58.7,22.83,9032,6400
HR1021022428,2021-02-27,2003900,PEMA013059605,PEMA-HR1000,수,이순,동두천,2.4,96.1,1.6,70.7,0,6257,6400
SR2021022427,2021-02-27,2005500,PEMA013035700,PEMA-SR2000,수,삼호,담양,11,94.1,2.3,35.2,0,4050,6400
PR1021022420,2021-02-27,2005300,PEMA013024804,PEMA-PR1000,수,동진파일,서산,4.9,96.1,2.7,72.5,0,7619,12800
HR1021022421,2021-02-27,2003700,PEMA013023016,PEMA-HR1000,수,동양,원주,5.4,88.3,1.8,55.5,0,3128,3200
SP1021022501,2021-02-28,2002100,TSN4012001730,PEMA-SN400,목,남광,동탄,2.4,81.6,1.8,0.2,2.25,4618,3200
AE21022515,2021-02-28,2005900,SSA073046500,AE,목,신일,송파,2.3,75.9,1.9,0.1,1.33,433,640
HR1521022509,2021-02-28,2007700,PEMA133057600,PEMA-HR1500,목,물금,양산,4.2,74.3,3.7,6.6,0,6451,6400
HR1021022535,2021-02-28,2007100,PEMA13031400,PEMA-HR1000,목,산하,덕소,2.4,74,1.2,0.1,0,7096,6400
PCMB21022520,2021-02-28,2001800,PEMA073061300,PEMA-PCM2000B,목,장원,남양주,2.4,74,1.2,0.1,0,3041,3200
PCM221022519,2021-02-28,2001600,PEMA063061300,PEMA-PCM2000,목,장원,남양주,2.4,74,1.2,0.1,0,2534,3200
HR1021022522,2021-02-28,2006609,PEMA053049403,PEMA-HR1000,목,아이에스,이천,1.6,81.4,0.8,0.6,0,2734,3200
HR1521022513,2021-02-28,2007800,PEMA053038600,PEMA-HR1500,목,서전,서산,2.1,75.9,2.4,0,0,2330,3200
SR2021022507,2021-02-28,2002200,PEMA043110500,PEMA-SR2000,목,신아,울산,2.5,84,3.2,6.4,5.75,663,640
SR2021022508,2021-02-28,2002300,PEMA043110500,PEMA-SR2000,목,신아,울산,2.5,84,3.2,6.4,5.75,390,640
PCM221022523,2021-02-28,2001700,PEMA043031800,PEMA-PCM2000,목,삼덕,평택,2.4,81.6,1.8,0.2,2.25,4746,4480
HR1021022516,2021-02-28,2006600,PEMA043023200,PEMA-HR1000,목,동양,경광주,1.6,81.4,0.8,0.6,0,3548,5120
HR1021022533,2021-02-28,2006900,PEMA033088300,PEMA-HR1000,목,성진,안양,2.4,81.6,1.8,0.2,2.25,3590,3200
HR1021022534,2021-02-28,2007000,PEMA033088300,PEMA-HR1000,목,성진,안양,2.4,81.6,1.8,0.2,2.25,3588,4480
SR2021022532,2021-02-28,2002500,PEMA033072700,PEMA-SR2000,목,태양,대구,2.6,88.9,1.7,9.6,4.33,3013,3200
CSA521022522,2021-02-28,2006100,PEMA033023004,CSA5000,목,동양,아산,2.3,80.8,1.2,0.2,0,7129,4480
HR1021022510,2021-02-28,2006400,PEMA033009000,PEMA-HR1000,목,나성,나주,4.7,74.8,1.7,0,0,6323,6400
HR1521022518,2021-02-28,2001102,PEMA033006900,PEMA-HR1500,목,대상,의령,4.5,70.5,2.9,6.8,0,7258,6400
HR1521022505,2021-02-28,2007500,PEMA023110500,PEMA-HR1500,목,신아,울산,2.5,84,3.2,6.4,5.75,2234,1920
HR1521022506,2021-02-28,2007600,PEMA023110500,PEMA-HR1500,목,신아,울산,2.5,84,3.2,6.4,5.75,2131,1920
SR3F21022531,2021-02-28,2002700,PEMA023106100,PEMA-SR3000F,목,우림,하남,2.4,74,1.2,0.1,0,5599,6400
HR1021022502,2021-02-28,2006300,PEMA023077800,PEMA-HR1000,목,한덕,천안,2.3,80.8,1.2,0.2,0,4315,4480
HR1021022511,2021-02-28,2006500,PEMA023058622,PEMA-HR1000,목,유진,나주,4.7,74.8,1.7,0,0,2500,3200
SR2021022512,2021-02-28,2002400,PEMA023041301,PEMA-SR2000,목,성원,단양,-0.1,86.5,0.6,2.2,0,3164,3200
PR1021022503,2021-02-28,2002000,PEMA023033303,PEMA-PR1000,목,삼성,문경,1.7,79.6,1.4,2.2,0,12429,9600
HR1021022517,2021-02-28,2006606,PEMA013112900,PEMA-HR1000,목,영동,동해,-0.1,86.5,1.9,6.6,0,2242,3200
HR1021022530,2021-02-28,2006800,PEMA013108400,PEMA-HR1000,목,우신,파주,0.6,78.9,1.3,0,0,6365,5120
580F21022504,2021-02-28,2005600,PEMA013099150,PEMA-580FX,목,쌍용,부천,1.9,68.1,3.8,0,0.92,9574,12800
HR1521022528,2021-02-28,2001400,PEMA013071300,PEMA-HR1500,목,케이와이,인천,1.9,68.1,3.8,0,0.92,4713,3200
HR1021022527,2021-02-28,2006700,PEMA013063800,PEMA-HR1000,목,제일,이서,2.3,75.9,1.9,0.1,1.33,4193,6400
